mot,definition
Mikoka," (koka) mt p. na mt. s.: Miantso (fampiasa indrindra raha miantso omby any an' entra)."
Mikokokoko," (kokoko)  Ory, sahirana izaitsizy."
Mikolay," (kolay, ft. tsy fampiasa), mt. s.: Miaiky ary vaky vava momba ny hamafy na hasarotry ny asa iray."
Mikolelaka," (kolelaka) mt. s. (mikolelafa): Mila finit amin' ny dokadoka, maneho fiforetahana ambany dia ambany amin'ny olona iray dokadokafana; misolelaka."
Mikolepadepaka," (kolepaka) mt s.: Mandringa miketraketraka."
Mikolialia," (kolialia) mt, s. (mikolialiaua): Mandosindositra, mihodividivitra: Matahotra ny hitakiako ny trosako any aminy Rakoto ka mikolialia.  M. h.: Mihodivitra, mibisioka, mibolidy."
Mikolitsaka," (kolitsaka) mt. s.: Mibolasitra, mibolisatra, misolafaka."
Mikolokolo," (kolokolo) mt. p. (mikolokoloa): Miantso (ny vorontsüoza)."
Mikombona," (kombona) mt, s. (mikombona): TsY misokatra: Nikombona ny uauan'ity zaza ity ka tsy hita izay hampidirana ny fanafody, ?Tampina: Efa mikombona ny va-va fery ka tsy ela dia ho sitrana. ? Tsy mivelatra, mihorona: Mikombona isan'alina ny felan'ity uoninkazo ity."
Mikomby," (komby) mt. s. (mikombia): Mitoetra ao anaty komby mafana: Nikomby tapa-bolana fahiny ny vehivavy raha nifana."
Mikomy," (komy) mt. s. (mikomia): Manongana ny lalàna mifehy ny tany, miray tetika mba handroba ny fahefampanjakana: Tsy nanaiky ny hozanahin'ny Frantsay ny Malagas y raha van resiny volana vitsivitsy ka nikomy."
Mikonaina," (konaina, konainaina) mt. s.: Mitaraindraina lavareny: Mikonaina ilay alika nokapohinao. ? Mitomany: Mikonaina matetika ity zazakeiy ity ? Mimenomenona, mimoriOmonona, mitaraina tsisy farany: Nikonaina ny oahoaka azon'ny fandoauam-bola be loatra."
Mikonainaika," (konaika, konainaika) mt. s.: Mitolokoloko sy mikonetaka, midridridridry sy mifararemotra."
Mikonantitra," (konantitra, rakonantitra) mt. s.: Maka endrika Rangahibe na Rafotsibe."
Mikondendy," Mikondendina, Mikorandendina (kondendy) mt. s. (mikondende, mikondendena, mikorandendena): Misaritaka eo am-panaovana afo mahandro sakafo, eo ampikarakarana tokantrano: E-fa cita akanjo ndeha hivaoaka izao ve'aho hikondendina hahandro vary ho azy indray?"
Mikonesa," (konesa) mt. s. (mikonesà) : Mandeha midaidaika mirisarisa somary sempotsempotra noho ny halehibeazana: Mikonesa io uehivauy matavy be io."
Mikonetaka," (konetaka) mt, s. (mikonetaha): Mihantahanta, miangentsangentsana: Mikoneta-dava ny zana-dRakoto."
Mikonfesy," (konfesy) mt. P. (mikonfese) (fiv, kat.): Milaza ny fahotana amin'ny pretra solontenan' Andriamanitra mba ho voavela."
Mikononkonona," (kononkonôna) mt. s. (mikononkonbna): Manafinafina, manakontakona. ? Manao zavatra an-takona, an-katakonana."
Mikopaka," (kopaka) mt. s. na mt. p. (mikopaha): Mihetsiketsika tsofin'ny rivotra: Mikopaka ny saina. ? Manetsiketsika ny elany (vorona): Mikopaka elatra ny uorona rehefa manidina, ? Misy kopaka: Tokony ho natao mikopa-droa ity uarauarana ity fa lehibe loatra."
Mikopandry," (kopandry) mt. s.: Manosoka na manatsika ny maty maso amin'ny voa nambolena."
Mikopetaka," (kopetaka) mt. s.: Mihafisaka no sady mihamitampisaka be."
Mikopia," (kopia) mt. p. (mikopiaza): Mandika mitovy tsara amin'ny taratasy hafa, manao dikasoratra."
Mikopilapila," (kopilapila) mt. s. (mikopilapilà): Mandeha mivilavila sy mitsivaka."
Mikopoka," (kopoka) mt. s. (mikopoha): Mikofoka, mihetsika mahery manohitra izay mibeda na mamatotra ny te-na: Voasambotry ny kary i-1ay akoho ka tsy nikopoka akory."
Mikoràka," (koràka) mt. s.: Enti-milaza ny feon'akohovavy avy nandatsaka (atody) na notairina,"
Mikorana," (korana) mt, s.: Miresaka falifaly."
Mikorandendy," (korandendy) mt. s. (mikorandende): Misafotofoto. ?  Maloto, misotisoty."
Mikorapaka," (korapaka) mt. s. (mikorapaha): Sady taitra no maika hanao, mirotoroto, dodona: Nikorapaka namonjy ny ronono nandroatra izy ka nianjera. ? Mivarina, mianjera, miantonta: Nisy nanenjika azy ka nikorapaka tany an-kady ny anao lahy."
Mikoraraika," (koraraika) mt. s.: Mamoaka feo manokana, enti-milaza ny akohovavy mikotrika rehefa voakotaba vo amin'ny fikotrehany."
Mikorataba," (korataba) mt. s.: Enti-milaza feo maromaro miaraka mihora-pifaliana."
Mikoratata," (koratata) mt. s.: Enti-milaza feo mafy tapatapaka, mipoapoaka toy ny tongo-tsoavaly mandeha amin'ny arabe vato."
Mikoretika," (koretika) mt. s. (mikoreteha): Mikorontana, misafotofoto, misavorovoro, mitsiporetika, mirango-tsa• ka, miboredika."
Mikoretsika," (koretsika) mt. s.: Mihahohaho."
Mikoriana," (koriana) mt. s.: Mandeha midina moramora tsy dia mafy loatra toy ny rano maria nefa tsy miadandoatra koa toy ny rano amin'ny tany marin-tampona): Mahafinaritra ny mijery ity rano mikoriana tsy an-kijanona. Misononoka. ? h.o.: Mandeha tsara, misosa ho azy: Mikoriana er? izany fiainanareo eto izany. ? Miteny misononoka tsy miambatrambatra: Nikoriana er9 ny lahateny ka hafaliana moa ny an'ny mpihaino!"
Mikoriasa," (akoriasa) mt. s.: Misalasala sy miroahana, mihambahamba sy mihabahaba."
Mikorintsana," (korintsana) mt. s. (mikorintsàna): Mamoaka feo mikitrana."
Mikorirarira," (korira) mt. s. (mikorirarirà): Misangisangy manao vazivazy."
Mikorisa," (korisa) mt. s. (mikorisà): Mibolisatra: Nikorisa tamin'ny hoditr'akondro izy. ? Mandeha midi-na nefa tsy mamindrafindra ny tongotra akory fa marne-la ny tena hisosa fotsiny amin'izao: Nikorisa tamin'ny ravin'akondro izy hatrery ambany er?."
Mikoro," (koro) mi-, s. (mikoroa): Mianjera, misavorovoro, mikorontana."
Mikorobobo," (korobobo) mt, s. (mikoro bo boa) : Dodona, maika: Nikorobobo handeha izy."
Mikorododo," (korododo) mt, s.: Malady, maika: Mitaitay hivady ny tanora ankehitriny, ka tsy mahagaga raha mikorododo hisaraka.   Malady, malaky, dodona, maika."
Mikorodona," (korodona) mt. (mikorodbna): Mandeha ma-ro manao dia maika; mingodongodona rehefa mandeha."
Mikorodorodo," (korodorodo) mt, s.: Mandeha maro mingodongodona,"
Mikorofoka," (korofoka) mt. s. (mikorofoha): Manetsiketsika ny tongotra aman-tanana: Mikorofona ilay vorona ao anaty harona."
Mikorombimby," (korombimby) mt. s. (mikorombimbia): Manao araka izay azo atao, misasatra, misahirana fatratra."
Mikoromby," (koromby)  Voaloka, voaro, voatahiry."
Mikorongo," (korongo) mt, s.: Miforitra; mifolaka."
Mikorontana," (korontana) mt, s. (mikorontàna): Tsy milamina, misafotofoto ambony ambany: Mikorontana ny zauatra ato an-trano. ? Isehoan' ny tsy fifanarahana, tsy mifanaraka: Mikorontana ny fanambadian-dry zareo. ? Misy tabataba: Nikorontana be ihany ny fanjakana tamin' izay.  M. h.: Tsy milamina, mif angaro be ihany, mifanjevo, misaritaka, misavoritaka, mifotofoto, misafotofoto, misavorovoro, mikorokoro, mifamotaka ambony ambarly."
Mikoropaka," Mikoropapa (koropaka) mt. s. (mikoropaha, mikoropapà): Manao fihetsika toa tsy voahevitra ka tsy mandeha amin'izay izy noho ny hamaikana na ny hamaimaizana: Tonga tampoka ny rafozany ka nikorapaka Rasoa hamono akoho."
Mikororoka," (kororoka) mt. p, (mikororoha): Manala ny voam-bary amin'ny bozaka na ny akofa ka toy izao no fanaovana izany: alaina ny vary dia araraka avy ambony ary dia entin'ny rivotra ny bozaka na ny akofa..., fa ny voam-bary kosa midina ka angonina amin'ny sahafa. ? h.o.: Manaratsy: Loza iny vehivavy iny raha hikororoka olona."
Mikororosy," (kororosy) mt. s. (mikororosia): Manao ankororosy. ? Mikodingy, mivarimbarina: Nikororosy tany an-teuana ilay mpangalatra. ? Midina, mitambororotxa, izany hoe mikorotsaka fotsiny hatrany: Tia mikororosy (na tia manao ankororosy) ambonin'ny ranomandry ny mponina any andafy. ? h,o,: Efa nikororosy ireo nanodinkodim-bolam-bahoaka teo a• loha. -  Mikororosy fahana: enti-milaza ny basy izay tsy amin'ny toerany intsony ny fahany fa mivaha midina; ? h.o,: olona mivarina amin' ny toerana ambony misy a-zy."
Mikorosy," (korosy) mt. s. (mikorosia): Misosa na mikorotsaka, fa amin'ny ilany ihany."
Mikorotika," (korotika) mt, a. (mikoroteha): Rovitra, kotika. ? Simba. ? Misavorovoro. ? Simba, mikorontana: Mikorotika ny fihavanan'ny roa tonta."
Mikorotsaka," (korotsaka) mt. s. (mikorotsaha): Mibolisatra mianjera: Nikorotsaka tany an-kady ilay olon-dratsy. ? Midina, mikoriana: Rano mikorotsaka ao anaty daba izany henonao izany."
Mikosesy," (kosesy) mt, s. (mikosese): Mandeha haingana loatra: Nikosesy loatra ny diany. / Nikosesy ny fitenin'io tovolahy io ka tsy azoko,"
Mikosika," (kosika) mt. s. (mikoseha): Mamaoka mafy, mandilotra, mikiky."
Mikosina," (kosina) mt. s. (mikosena): Miforitra, mitavana mihosina amin'ny zavatra maloto: Mikosina amin' ny vovoka foana io zaza io ka maloto lava. ? Misafosafo tena; mihaotra: Aza mikosina amin'ny rindrina. ? Miaraka matetika amin'ny olona tsy mitovy hambonian-toetra amin'ny tena, amin'ny fatritran'olona: Mikosina amin' ny naman-dratsy io zazalahy io."
Mikosoka," (kosoka) mt.p. (mikosoha): Mikasoka mafy hialan'ny loto na hanorotoroana."
Mikotana," (kotana) mt. s. (mikotàna): Mitabataba: Mikotana ny tany amin'izao fotoana izao. ? Tsy mifanaraka: Mikotana ny mpiasa sy ny mpampiasa amin'ity tanàna itY,"
Mikotika," (kotika) mt, s: Rovitra sy potipotika, rotika: Nahoana no nikotika toy izao ny satrokao? ? Misafotofoto tsy hita intsony izay marina sy tsy marina: Mikotika izaitsizy izany raharaha izany. ? Misamboaravoara, mitrifantrifana: Mikotika ny anao lahy rehefa tezitra,"
Mikotona," (kotona)  Mifanety, mifanizina fatratra, mikitroka."
Mikotrakotraka," (kotrakotraka) mt. s.: Mangotraka, mandevy ka miketriketrika."
Mikotrakotraka," (kotrakotraka) mt. s.: Mifampipoka. 'Mikotrana (kotrana) mt, s. (mikotràna): Mifampipdka, mifandona: Ento mora ireto tauoahangy ireto sao mikotrana. ? Mifanditra, miady vava: Mikotrana foana izy miaotra ireo. ? Mitabataba: Tamin'izay, nikotrana ny tanàna,"
Mikotrefa," (kotrefa) mt. s,: Mandeha ketraka ila ka mikotringa."
Mikotrefaka," (kotrefa) p. t,: Mandringa, mikotringa."
Mikotretrika," (kotretrika) mt. s. na p.t. (mikotretreha): Mitomany lava, mitaraindraina, mody mitomany, koreha."
Mikotrifatrifa," (kotrifatrifa) p. t.: Mandringandringa."
Mikotrika," (kotrika) mt. s. (mikotreha): Mambomba ny atody mba hanafana azy ka hahafoy azy ho zary zanany: Te hikotrika io reniakoho io fa sarony. ? Manao izay hahafoy (atody): Betsaka ny akoho no mikotri-borona. ? Mandry eo am-pandriana la-va, indraindray koa aza entimilaza, amin'ny fomba hatsikana, ny vehivavy mifana."
Mikotringa," (kotringa) p. t.: Mandringa, tsy marim-pamindra fa miavo miiva.   Mandringa, kotrefa, kotrefaka, kotrepaka, kotrifa, mikotrifa, tolitsika, mitolitsika, mitolila, kely ila, kolepaka, mikolepaka, tsapika."
Mikotritratritra," (kotritratritra) mt. s.: Mitrifantrifam-poana, tsy mahatsiaro henatra amin' ny fihetsiny."
Mikotroka," (kotroka) mt, s.: Mipoaka, mirefotra:Mikotroka ny uaratra, / Mikotroka ny tafondro rehefa hanomboka ny matso. ? Mangotraka, mandevy: Efa mikotroka ny rano ka arotsahy amin' izay ny uary. ? Mianjera mitalakotrokotroka: Mikotroka ilay riana ao akaikinay ka tsy ahitana tory."
Mikotsaba," (kotsaba) mt. s. (mikotsabà): Mampamoaka feo ny rano rehefa itsabahan'ny tongotra."
Mikotsetsa," (kotsetsa) mt. s. (mikotsetsà): Mipentsompen-. tsona tsy misy handatsahan' ny sasany."
Mikotsetsotsetso," (kotsetsotsetso) mt. s,: Mipentsompentsona sy mitsatsaingontsaingon-teny. ? Mandeha haingana, mateti-pamindra, mamindra kosesy."
Mikovavy," (kovavy) mt, s.: Ma-nana toetra vavivavy."
Mikoviaviaka," (koviaviaka) mt.s.: Filazana ny soavaly rahefa maneno."
Mikovilavila," (kovilavila) mt. s. na p. t.: Tsy mahitsy fa miolikolika, na manketsy mankeroa: Mikouilaoila ny soratry ny zozo vao miana-manoratra."
Mikoy," (koy) mt. s. (mikoiza): Manaiky fa resy: Nasian'ny miaramila mafy ny fahavalo ka nikoy. ? Miaiky na migaga ny fahaizana na ny fahatanjahan'ny olona iray:Nampisehoan'Isambilo ny fahaizany ny mpianatra namany ka nikoy. ?Mibaboka amy..., miaiky: Mikoy ny hadisoanao ve ianao?"
Mikraoby," (fr, microbe)  A-narana ankapobe iantsoana ireo zavamananaina na zavamaniry kiritika kely, tokantsela,, tsy hita raha tsy amin' ny mikraoskaopy, miteraka aretina. Misy karazany telo ny mikraoby: 1) ny virosy; 2) ny mikraoby zavamaniry, izay mitsinjara vitsivitsy indray, ka anfsan'izany ny bakteria (basila, kaoka, vibrio, spiroketa); 3) ny mikraoby bibikely (hematozoera, amiba, tripanozaoma)."
Mila," (ila) mt. p. (milà): Mitaky zavatra tsy azo avela: Mi-la rivotra ny zavamananaina mba hiainany. • Mangataka: Mila heuitra aminao aho. • Mitady: Mila ady amiko izy. / Mila faty izay mandeha eto. • Ma madiva, efa akaiky: Mita hianjera ity trano ity, -  Mita ady: mitady antony hiadiana. ) Miki loza: mitady loza, mankahatra zavatra mety hampidi-doza. / Mita mazaua hodiauina: mitady fomba hahafahana miala amin'ny ety. J Miki tay: mitady zavatra mety hampidi-doza sy hiteraka fahasahiranana ho an'ny tena. JMila voatsiary: mitady zavatra tsy ho azo atao. * Ohab.: Aza mita uoatsiary toy ny mpisikidy mampandihy ny marary (mazava ho azy)."
Mila," Mila ady, miharana ady, mitoha ady, mandranto ady, manenjan-tsandry, mihaika, mihantsy ady, mila kisa, mila tonony, mila vaniny, mila antsongony, mila raorao, mila romoromo, manao antsongo ravina, mita trosintrosina, rafla sotasota, mila sentsena, mila setrivoho, mila sondasonda, mila lolotramalona, rafla voatsiary, mila antsontsany, mila tonompoly hihaha, rafla vezovezo."
Miladilady," (ladilady) mt. s.: Mitady hitsofotsofoka, hisisika: Tandremo fa mbola hiladilady any aminao any iny Ramatoa iny."
Miladitra," (laditra) mt. s. (miladira): Mandeha na manao zavatra miadana dia miadana: Hosoloako mihitsy io mpiasa io fa miladitra loatra raha manao zauatra   Mitaredretra, mitsiredareda, meda, medameda, milasilasy, mitavozavoza, mikisinkisina, jar. Miadana."
Milafidofika," (lofidofika) mt. s.: Miondrikondri-doha noho ny harerahana, torimaso na hainandro."
Milafika," (lafika) mt s. (milafiha): Misy lafika: Tsy afaka manoratra aho raha tsy milafika ny taratasy. • Milozoka, mikezaka: Milafika amin'ny fianarana Rakoto.   Mifantsika, mimaso, mikely aina. ? Mijanona ela, mitoetra ela: Nilafika tao aminay nandritra ny iray vola-na io olona io. -  Milafi-karena: tsy mitsitsy loatra amin'ny fihariana. J Mitafi-damba: maka lamba hilafihana eo am-panaovana zavatra iray (noheverina ho nampahomby izay atao izany)."
Milafolafo," (lafolafo) mt. s.: Mihetsiketsika, mihoalahoala (mba hisintonana ny mason' ny olona, mba hanangoly): Milafolafo aoka izany io tououauy io rehefa mandalo tovolahy,"
Milahatra," (lahatra) mt. s. (milahara): Mijoro manaraka tsipika mahitsy: Milahatra tsiroaroa ny mpianatra."
Milaika," (laika) mt. s. (milaikà): Mandeha miadana dia miadana ka misy fihetsehana kely atao. 1 Mandihy amimpahamendrehana, misonenika, toy ny fanao amin'ny la-n onam-p am orana."
Milaiko," na Milaikolaiko' (laikolaiko) mt. s.: Mamindra somary miandranandrana na miangolangola."
Milaingo," (laingo) mt. s. (milaingoa): Mametaka ny ravindaingo amin'ny nify."
Milamaka," (lamaka) mt. s. (milamaha): Mandry midaboka amin'ny tany: Nilamaka eran'ny trano ny ankizy raha uao tonga fa uizana. 1 h.i.: Miampatra, mivalampatra, mivalandotra: Be ny fatin'ny miaramila nilamaka tamin' ny tany."
Milambana," (Iombana)  La-vo, maty betsaka indray mandeha, ringana, ripaka."
Milamina," (lamina) mt. s. na p. t. (milamina): Milahatra tsara: Mahafinaritra ny mijery izao boky milamina izao. • Mirindra, milanto, mandeha tsara: Hatramin'ny nahatongauan'io mpampiasa io, mi-lamina tsara ny raharaha. • Voamboatra, voavitrana, voarindra: Efa milamina ny fihauananay. ? Tsy mikorontana, voakarakara ka amin'ny toerana tokony hisy azy avy ny zavatra: Milamina tsara ianareo izany. / Izany ka tokantrano milamina. + Tsy misy zavatra manembantsembana, misosa tsara: Nilamina tsara ny dianay.   Mimpirina, milanto, mirindra, miravona, mande-ha tsara, mizotra milamina, misononoka, misosa, tsy misy vato manoha riana, tsy misy volo manoha randrana, Mandamina, mandahatra, mampirina, mandrindra, manala olana, mampirindra, mikirakira, mandanto, mandravona, mamboatra, mikojakoja, mikarakara, mikajikajy."
Milamoka," (lamoka) nit s.: Mavesabesatra ta hatoritory: Milamoka izany ny masoko fa tsy nopizin-tory aho halina."
Milampatra," (lampatra) mt. s. (milampara): Mandry ka mitsotra ny tongotra aman-tanana: Nilampatra teo amin' ny ahitra no nahitanay azy ireo."
Milangalanga," (langalanga) mt. s. na p. t.: Avo be manerinerina, miezoezo: Mitangalanga ity trano ity. • Miteronterona, miringiringy ambony zavatra: Haratra eny ireny ankizy milangalanga eny antampon'ny trano ireny. ? Miavonavona, mianjonanjona: Milangalanga loatra iny uehivauy iny na miteny na mandeha."
Milangozo," (langozo) a,: Antsy fitondran'ny olona hiarovany tena raha sendra misy biby masiaka mitady hamely azy."
Milanja," (lanja) mt. p. (milanjà): Mïtondra ambony soroka, miantsoroka, mitondra amin'ny filanjana."
Milanona," (lanona) mt. s.: Miangona, mivory: Milanona atsy amin'ny kianja atsy ny mpianatra."
Milanto," (lanto) mt. s. (milantoa): Milamina: Milanto er9 ireto bokinao. 1 Milahatra na voalahatra tsara ka tonga mahafinaritra ny maso na ny sofina, mirindra: Milantolanto er? ny fiteniny ka maha-te hihaino. 1 Mifanaraka, mifankahazo: Milanto tsara ireto mpivady roa ireto.   Milahatra, milamina, mirindra."
Milantsika," (lantsika) mt. s. na P. t. (milantsiha): Miforitra mankany ivoho ny tena, mitondrotra ny eo anoloana: Milantsi-pandeha Rakoto."
Milaoka," (laoka) mt. p. (milaofa): Manao laoka: Nilaoka trondro izahay omaly."
Milapa," (lapa) mt. s.: Mihira sy mandihy alohan'ny famorana."
Milaro," (taro)  Miharo amin'ny taro; misy taro: Paraky tsy milaro no amidin'ilay Rangahy io."
milasia,"Jer. [lasy] mitoera, manangàna lasy hitobiana "
Milasilasy," (lasilasy) mt. s. (milasilasia): Mandeha na manao raharaha miadana, tsy rototra: Milasilasy loatra io zazalahy io rehefa miasa ka an-gamba hosoloako.  M,h,: Mitaredretra, mitsiredareda, mitavozavoza, mikisinkisina."
Milasy," (lasy) mt. s. (milasia): Mitoby, mandry an-tsaha (fiteny indrindra amin'ny miaramila): Eto ny miaramila no hilasy anio. • Mivahiny maro any aman'olona ka manao parasy homana ao: Iray uolana izao ry zareo ato auaratra no milasy any amin'ny havany any Antsirabe."
Milatsaka," (latsaka) mt. s. (milatsaha): Mianjera: Nilatsaka teo ambony lohany ny biriky ka torana izy. 1 Mldina: Nilatsaka ny rahona fa ho auy angamba ny orana. • Avy, nirotsaka: Milatsaka ny orana fa ampidiro ny kitay. 1 Mirotsaka miasa: Antoandro loatra ny mpiasa omaly uao nilatsaka. 1 Miditra ho: Nilatsaka ho matilo izy. 1 Miditra, milentika: Nilatsaka tao anatin'ny foko ny nataonao."
Milatsy," (latsy) mt, s.: Misy latsy na tsorakazo fatorana eo antenatenan'ny takela-jozoro mba hanamafy azy: Tsy ho mafy ity rindrin-tany ity raha tsy milatsy volotsangana."
Milavaka," (lavaka) mt. s.: Misy lavaka."
Milavo," (lavo) mt. s.: Mianjera avy eo amin'ny toerana iray ambony ho amin'ny ambany. -  F,-p,: Milauo lefona: resy ka mametra-piadiana eo antongotry ny mpandresy. (Mi-lao() loha (mitovy amin'ny eo aloha ihany)."
Milay," (lay) mt. s.: Mandeha amin'ny sambo misy lay."
Milay," (lay) mt. p.: Mividy zavatra ka atao trosa ny vidiny: Milay henan-kisoa roa kitao."
Milay,"Tsara tarehy."
Milaza," (laza) mt, p. (milazà): Mampahalala zavatra amin' ny alalan'ny teny na soratra: Hilaza zaua-baouao mahatalanjona aminao aho. • Mana-ho ny hevitry ny tena: Nilaza izy fa ho tonga. • Mamoaka ampahibemaso: Nilaza ny lehiben'ny governemanta fa izay tratra mangalatra omby dia hofaizina mafy. + Mitory, manambara: Efa mahay mandainga Ikotokely; milaza izany fa efa (tory saina ny adalalahy, • Mitantara: Latsadranomaso izy nilaza ny zaua-nitranga tamin'ny 13 Mey.  M. h. r Manao tsy lian-tsofina, mitory, maneho, mamosaka, mamboraka, manaboraka, mamaky volana, mitantara, mitanisa, mamisavisa, miventy."
Milebolebo," (lebolebo) mt, s.: Ta-handoa, mahatsiaro ho maloiloy, mivivy toy ny ta handoa. (Ny fiteny matetika dia ny hoe misalebolebo)."
Mileda," (leda) mt. s.: Mandeha milakolako."
Milefa," (lefa) mt. s. (milefà na milefasa): Lasa tsy tana, mandrongatra: Nilefa ilay boioky. • Mandositra, lasa mihataka haingana tsy ho hita: Nilefa tao an-tranomaizina ny gadra roa lahy. ~ Mitriatra, mirifatra, miridana: Nilefa nankany an-tSihanaka any iz y."
Milefitra," (lefitra) mt. s. (mile-fera): Miforitra: Milefitra be ihany ity taratasy ity fa soloy. • Manaiky, manoa, manaraka: Nilefitra ihany izy tamin'ny farany."
Milefolefo," (lefolefo) p. t.: Mile-titra, miforitra."
Milejolejo," (lejolejo)  Lava milefolefo, miforitra,"
Milelaka," (lelaka) mt. s. (milelafa): Mampandalo ny lela eo ambony zavatra: Axa milela-tanana, ry Ikoto, fa tsy tsara a! ? Mandokadoka fatratra sady tsy mendrika mba hahazoan-tsitraka: Loza iny mpiasa iny raha hilelaka lehibe. ? Mirehitra be ary mamoaka lelafo lava be toy ny lela mandrambotra izay azony: Efa niletaka ny lelafo uao tonga ny mpamonjy hain trano. -  F,-p.: Milela-paladia: mita-labo mafy dia mafy; mifona zato mifona arivo. / Milelaka ny tanty: fomba fiteny enti-miala tsiny amin'ny v~-hiny nasaina noho ny faha tsizarizary na hakelin'ny sakafo naroso azy."
Milelalela," (lelalela) mt. s. (miletalelà): Mamoaka lelafo miredareda: Nilelalela aoka izany ny lelafo tamin'ilay haintrano ter? atsinanana. • Mikiakiaka mafy, indrindra raha miantso: Mba mitenena moramora fa aza milelalela ohatra ny adala. 1 Manintona na manaitra ny maso izaitsizy noho izy mamirapiratra na be renty: Milelalela loatra ny akanjon'iny uehivauy iny. 1 Maharary toa mahamay; te hihinan-kanina mafy: Tsy nanendry afa-tsy uary sosoa kely aho halina ka milelalela izaitsizy ny ambavafoko izao."
Milembalemba," (lembalemba)  Ilazana havoana misy tany marin-tampona er3 amboniny."
Milembolembo," (lembolembo) mt. s.: Maloiloy, ta handoa noho ny fofona ratsy."
Milempa," (lampa)  Misy pepo.  M. h.: Demba, dempa, dembana."
Milendalenda," (lendalenda) mt, s.: Maniry mafy, mihoalahoala te hihinana na ta hahazo."
Milenodenoka," (lenodenoka) p. t.: Maniry tsara, midokadoka mahafinaritra."
Milentika," (lentika) mt. s. (milenteha): Misitrika ao anaty rano, difotra ao anaty rano: Nidiran'ny rano ny lakana ka nilentika. 1 Lasa nidify any am-badiky ny faravodilanitra: Amin'ny enina izao no milentika ny masoandro. • Mihamifatratra, mihitsoka lalina ao anatin'ny faharatsiana, fahasahiranana, fahoriana: Milentika ao anatin' ny fahotana ny olona sasany. • Miraikitra, voasokitra: Milentika ato am-poko ny teninao. • Mijanona ela be amin'ny toerana iray: Nahoana no nilentika tany an-tsena tany ise?"
Milepaka," (lepaka) mt, s.: Miforitra ao ambany: Milepaka ny sofin'ny alika sasany, • Tsy henjana fa mivaroraka: Lena angaha ity bonetranao no milepaka? • Mandringa somary miketraka (nefa ny hoe mikolepaka no ampiasaina matetika): Naninona ity otnby no nilepaka."
Miletaka," (letaka) mt. s. (miletaha): Tsy mahazaka tena ka midaboka amin'izao: Miletaka ny tamboho. ? Mipetrapetraka any an-tranon'olona: Miletaka foana any antranon'olona Ikoto,"
Miletaleta," (letaleta) mt. s. (miletaletà): Mamindra miledaleda, mikonesanesa."
Miletra," (letra) mt. s. (milera): Miditra ka tsy afa-mivoaka intsony: Miletra ao anatin' ny gadanà ny fanalahidy.  M. h.: Mihizina, mihitsoka. • Miditra betsaka: Mbola miletra ato an-trano ihany ny olona, nefa efa tsy omby.   Misesika, misosososo, misisika. • Mihinana be dia be, manao voky hatenda: Niletra ny anao lahy omaly tany amin'ny fanasana ka nandraiki-narary. / Niletra vomanga Isambilo ka narary kibo (mt. p.)."
Miletsy," (letsy) mt, s. (miletse): Mietry: Miletsy ny valin-drihana. • Milefitra, miforitra noho ny lanjan'entana entina: Loza ny havesatr'ity vata ity fa efa miletsy mihitsy ireo mpitondra efa-dahy matanjaka. • Midina mitambotsotra: Efa fararano izao ka antenaina fa hiletsy ny vidimbary."
Milevina," (levina) mt. s. (milevena): Mitoetra aorian'ny fahafatesana: Ato no milevina i Dada sy Neny. • Miafina, mitototra: Misy rakitra sarobidy milevina ato. • Mijanona ela be any amin'izay ale-ha: Milevena any an-tsena any ange ialahy raha ta hahita ahy!"
Milezolezo," (lezolezo)  La-va manify toy ny hiforitra: Milezolezo iry tovolahy iry.   Miezoezo, mitezotezo. • Marotsaka, manify sy lava: Milezolezo ny ranjony."
Miliaka," (liaka) mt. s.: Maimay, matimaty, mimatimaty."
Miliba," (liba) mt s. (milibà): Manaram-po tanteraka, manao izay tiana sy danin'ny kibo: Miliba amin'ny fananany Rakoto. ? Mikarenjy, tia lalao sy fahafinaretana: Izay hianatra, nofy azy; miliba any amin'ny namany any foana izy.  M,h.: Manaram-po, manaram-batana, migodana, migalabina, mianjady, manao ny danin'ny kibo, miala liana, manampatra, mihary zaka, mihenjy, mikarenjy, be haitraitra, be siasia, akanga, angatra, angelingely, ""tondraka anio manan-jara, izay ho ampitso ka ho hitanao"", manjehy ny andro ho lava, tsy mitsapa ny ho farany, tsy mijery ny lany, manarazn-po fahazaza ka maka kitay fotsy volo, manaram-po ohatra ny kary an'efitra, manampoka aina."
Milihitra," (lihitra) mt. s. (milihira): Mikikitra manao; manao tsy amim-piheverana."
Mililotra," (liiotra) mt. s.: Miditra any anatin'ny masonkoditra, mamotsentsina ao."
Milina," (angl. Mill)  Fiasana namboarina handeha ho azy ka entina hanaovan-javatra: Milina fanjairana. / Milina fanoratana."
Milingilingy," (Iingilingy) mt. s.: Mitoetra amin'ny toerana a-vo eny an-tendrony; miringiringy,"
Milingitra," (lingitra) mt. s.: Dodona, maimay hanao zavatra noho ny hajejoana, milihitra."
Militalita," (litalita) mt, s.: Mandeha mikonesanesa, miretareta."
Militera," (fr. militaire)  Momba ny miaramila, •  Ny miaramila; ny antokon' olona manao raharaha-miaramila: Natokan-toerana avy: an-kilany ny sivilina, andaniny ny militera."
Militika," (litika) mt. s.: Maimay sy dodona aoka izany, misisika ho tia, milihitra, milingitra."
